d,请求量,错误量,错误率万分比,200ms占比,department
2023-02-21,1588918,446,2.8069415791123267,21.921584373768816,人脉
2023-05-15,7894800,28,0.03546638293560318,82.62185235851446,社区
2023-02-22,7932218,39,0.04916657610771666,81.53718165587482,社区
2023-03-04,978840,153,1.5630746598013976,36.100077642924276,人脉
2023-02-18,724641,68,0.9383957021476842,73.29643230234005,平台
2023-03-07,7505741,85,0.11324664680009609,83.40343744874757,社区
2023-03-02,1661407,367,2.2089710709055637,33.367862299845854,人脉
2023-03-01,8072590,41,0.05078915193265111,83.01773036906371,社区
2023-05-12,1445189,148,1.024087506893562,36.80418270551464,人脉
2023-02-27,1516810,321,2.116283516063317,21.899908360308807,人脉
2023-05-13,5983469,7,0.011698899083458107,82.49839683300775,社区
2023-02-24,7905050,84,0.10626118746876996,81.69267746567068,社区
2023-05-14,646278,8,0.1237857392639081,71.31714215863761,平台
2023-02-25,716691,7,0.09767110233001391,73.67289389709093,平台
2023-02-28,1238810,121,0.9767438105924233,74.34578345347552,平台
2023-02-19,5325114,23,0.04319156359845066,81.67316230225306,社区
2023-03-06,1160535,52,0.44806920945943035,74.08203974890891,平台
2023-05-16,1152760,92,0.7980845969672785,72.37647038412159,平台
2023-02-23,1188601,66,0.5552746464120424,74.44449398915195,平台
2023-04-14,7711879,30,0.03890102528838951,81.98671166910165,社区
2023-03-27,7890694,43,0.054494572974189595,83.06578610195757,社区
2023-04-15,902325,95,1.0528357299199291,37.15978167511706,人脉
2023-03-24,1380753,753,5.453545999900054,34.34604161642234,人脉
2023-04-29,511554,22,0.43006212442870156,72.22091900366335,平台
2023-03-10,1126280,40,0.35515147210285186,72.23505700181127,平台
2023-04-17,7550550,47,0.06224712107065048,82.02630271966943,社区
2023-04-07,7642858,68,0.08897195263865952,81.57015346876784,社区
2023-04-20,1424080,416,2.9211842031346555,36.2520364024493,人脉
2023-05-04,984749,3,0.030464615856426357,70.8146949121045,平台
2023-04-06,1490918,359,2.407912440523221,37.69214671765986,人脉
2023-03-23,1237080,67,0.5415979564781582,73.08460245093285,平台
2023-04-23,7339589,25,0.03406185278221982,82.67665941512529,社区
2023-04-01,5935654,7,0.011793140233578305,82.00747550312063,社区
2023-05-10,1128048,67,0.5939463568926145,73.19067982922712,平台
2023-04-22,932906,81,0.8682546794639545,36.89074783525886,人脉
2023-04-04,1506397,365,2.4230000458046583,36.895121272811885,人脉
2023-03-17,1110721,79,0.7112497197766136,72.3393183346673,平台
2023-04-12,8207425,61,0.07432294538177321,82.1341407323247,社区
2023-03-29,8782752,26,0.029603477361082268,82.90645118978652,社区
2023-04-27,1028041,51,0.49608916375903295,73.38277364424181,平台
2023-03-12,700015,58,0.8285536738498461,70.39820575273387,平台
2023-04-09,908110,93,1.0241050093050401,38.20021803526004,人脉
2023-03-30,1585617,434,2.737104862019012,36.126000162712685,人脉
2023-04-25,1428014,126,0.8823442907422476,36.64767992470662,人脉
2023-03-14,1605411,593,3.693758171583476,36.34004002713324,人脉
2023-04-11,1190808,228,1.9146663441965455,73.42040026603784,平台
2023-03-28,1215488,56,0.46072030328559394,73.26670440185342,平台
2023-04-28,6891923,33,0.047882136814355006,83.45286214021834,社区
2023-03-13,7182599,54,0.07518169954914648,81.46439749734044,社区
2023-05-08,1422230,309,2.1726443683511105,37.07937534716607,人脉
2023-04-24,1123892,84,0.7474027753556391,72.5719197218238,平台
2023-04-02,650196,10,0.15379977729792246,71.4835218918603,平台
2023-03-19,903880,306,3.3854051422755234,36.38591405938841,人脉
2023-05-09,7014272,180,0.2566196463439114,82.02456363254804,社区
2023-03-16,7769500,65,0.08366046721153228,80.72613424287277,社区
2023-04-18,1149932,63,0.5478584820667657,73.33555375448287,平台
2023-05-06,1299234,456,3.509760366492872,36.64489999492008,人脉
2023-04-08,671538,19,0.28293261140843856,71.38106853223496,平台
2023-03-21,1538982,329,2.1377767901119054,34.68279680983923,人脉
2023-05-03,4304719,22,0.05110670406128716,83.0813114630711,社区
2023-03-22,8429928,58,0.0688024856202805,83.66364457679828,社区
2023-04-13,1192583,37,0.31025094270168196,74.34417562551202,平台
2023-03-26,670365,11,0.1640897123208998,70.68462703154252,平台
2023-05-01,577155,51,0.8836447748005302,38.062738779010836,人脉
2023-04-30,4016758,7,0.01742698962695786,82.80777681901672,社区
2023-03-11,5530408,20,0.03616369714494844,80.99905106458692,社区
2023-03-08,1553210,492,3.1676334816283696,36.288460671770075,人脉
2023-02-19,912899,376,4.118746980772243,21.971324319557805,人脉
2023-03-05,701054,64,0.9129111309542489,72.75430993903466,平台
2023-02-20,1176544,220,1.8698833192808768,73.3376737291593,平台
2023-05-11,1138754,95,0.8342451486449224,74.36575414883285,平台
2023-02-26,672698,9,0.13378960543958804,73.32294729581476,平台
2023-03-03,1119854,127,1.13407640638869,73.91472459802796,平台
2023-03-01,1659621,306,1.8437944566861952,25.635973514434923,人脉
2023-03-02,8056650,35,0.04344237369129849,81.65884083334885,社区
2023-05-13,913335,253,2.77006793783223,37.500260036021835,人脉
2023-02-24,1430869,332,2.3202683124730497,21.199355077229292,人脉
2023-05-12,8706380,55,0.06317206462387352,83.67037735545658,社区
2023-02-27,7796973,57,0.07310529355430627,82.73736487223952,社区
2023-05-15,1455875,146,1.00283334764317,37.14412295011591,人脉
2023-02-22,1564289,328,2.0967992487321716,20.936412644978006,人脉
2023-02-21,7851251,56,0.0713262128544865,83.21703127310539,社区
2023-03-07,1616910,498,3.079948791212869,36.35718747487491,人脉
2023-03-04,5625095,38,0.0675544146365528,81.01335177450336,社区
2023-05-03,726708,27,0.3715384996449743,38.169526137045416,人脉
2023-04-19,1153793,50,0.43335329647519094,73.62343158608174,平台
2023-04-05,801260,7,0.08736240421336396,72.13875645857775,平台
2023-03-22,1584957,200,1.261863886528152,34.644409911436085,人脉
2023-05-06,6227133,2439,3.9167302191875457,81.29235396128523,社区
2023-03-21,8332092,51,0.06120911771017411,84.42061129425839,社区
2023-04-30,565424,54,0.9550355131724158,37.20995217748097,人脉
2023-03-11,1012653,214,2.1132609097094464,39.099474351036335,人脉
2023-04-16,635160,55,0.8659235468228478,72.32287927451351,平台
2023-03-25,738165,29,0.3928660936240542,70.52677924312314,平台
2023-05-01,3746472,26,0.06939862355837706,82.64292379604065,社区
2023-03-08,7807312,57,0.07300848230479325,83.21876978914126,社区
2023-04-10,1140584,42,0.368232414271987,72.70871763938473,平台
2023-03-31,1103974,23,0.20833823984985153,73.39013418794283,平台
2023-04-28,1141305,60,0.5257139853062941,36.98319029531983,人脉
2023-03-13,1560474,405,2.5953652544034695,38.48349924446034,人脉
2023-04-25,7519800,38,0.05053325886326764,82.3435330726881,社区
2023-03-14,7605584,58,0.07625975861945644,80.55360377322766,社区
2023-04-21,1041861,61,0.5854907708417918,73.23865659622541,平台
2023-05-09,1477642,229,1.5497664522259114,37.41149750751535,人脉
2023-04-03,1102655,134,1.215248649849681,72.31264538772326,平台
2023-03-16,1510352,384,2.5424536796720236,34.887562634405754,人脉
2023-05-08,6820899,72,0.10555793305251991,82.13069860732435,社区
2023-03-19,5657797,40,0.07069889570092387,84.11470047440727,社区
2023-04-22,5695175,27,0.04740855197601478,81.45563569161615,社区
2023-04-04,7750491,138,0.1780532355950094,81.82365478522587,社区
2023-04-23,1315914,197,1.4970583184007467,36.119761625759736,人脉
2023-05-07,642292,2,0.03113848529952109,70.8322694350856,平台
2023-04-01,948476,111,1.1702984577364108,37.77080284582846,人脉
2023-03-18,711612,37,0.5199462628511042,72.15687762432337,平台
2023-04-09,5653159,18,0.0318406045186417,81.84501798021248,社区
2023-04-12,1556275,245,1.5742718992465985,36.091886074119294,人脉
2023-03-30,8762143,66,0.07532403887952982,82.45573029337686,社区
2023-03-29,1628107,485,2.9789196901677837,36.43900554447588,人脉
2023-04-26,1067400,62,0.5808506651676972,73.55761663856099,平台
2023-03-15,1260699,118,0.9359886856418542,72.31036115678683,平台
2023-04-15,5680912,32,0.05632898379696781,81.82362268593494,社区
2023-03-24,8020454,40,0.0498724885149893,83.84345823814961,社区
2023-05-02,426385,1,0.02345298263306636,70.43892256997783,平台
2023-03-09,1225274,7,0.057130078659956875,72.28497462608364,平台
2023-04-14,1367015,148,1.0826508853231311,35.70597250213056,人脉
2023-03-27,1542618,594,3.850596842510589,37.62350756959921,人脉
2023-04-20,7688271,37,0.04812525468990362,82.07245816387065,社区
2023-04-06,7764447,91,0.11720087728076449,84.480388622654,社区
2023-05-05,1032415,41,0.3971271242668888,71.67040385891332,平台
2023-04-17,1424948,371,2.603603780629188,36.84464275187586,人脉
2023-04-07,1409778,267,1.8939152121823437,36.47794191709617,人脉
2023-03-20,1177537,519,4.407504817258396,74.18909129819275,平台
2023-04-30,419594,4,0.09533024781097918,70.78175569717394,平台
2023-04-16,831336,113,1.3592578692610449,37.847272342350145,人脉
2023-03-25,1006020,108,1.0735373054213635,37.65133893958371,人脉
2023-03-11,755487,66,0.87360867890513,70.16070428743313,平台
2023-04-13,8139960,27,0.03316969616558312,82.89344173681444,社区
2023-03-26,5763078,25,0.043379596805734714,82.46301715853924,社区
2023-05-03,514483,14,0.2721178347972625,69.66449814668317,平台
2023-03-22,1258969,51,0.4050933740227122,72.68852529331541,平台
2023-04-19,1479079,375,2.535361532413076,36.11044440493036,人脉
2023-04-05,1066114,104,0.9755054337528632,38.13166321800483,人脉
2023-04-18,7802764,26,0.03332152555171475,82.20483151867722,社区
2023-04-08,5673988,6,0.010574572945871582,81.08043231674088,社区
2023-04-21,1334468,151,1.1315370619602718,36.036757719180976,人脉
2023-04-03,1494959,394,2.635523783595403,37.380556924972524,人脉
2023-05-09,1137638,89,0.782322672062642,71.99566118571988,平台
2023-03-16,1244616,67,0.5383186460723629,71.27660258264396,平台
2023-04-24,7576473,36,0.04751551282503085,81.67070614519447,社区
2023-04-02,5799323,17,0.029313766451704793,82.29934769972289,社区
2023-04-10,1502188,160,1.0651130218055262,36.22535927593617,人脉
2023-04-28,900891,10,0.11100121990340674,73.57316256905663,平台
2023-03-31,1436101,392,2.7296130286101046,36.60243952201134,人脉
2023-03-13,1205387,86,0.7134638087186936,71.14105262459276,平台
2023-04-11,8139448,442,0.5430343679325674,81.82628600858436,社区
2023-03-28,8360750,20,0.02392129892653171,82.877815985408,社区
2023-04-27,7233881,30,0.04147151439179052,83.00693638725879,社区
2023-03-12,5419059,50,0.09226694154833892,81.67735394650622,社区
2023-04-12,1199518,53,0.44184414072985984,73.34796143117485,平台
2023-04-26,1380426,260,1.8834765499925386,37.91293412323442,人脉
2023-03-29,1250155,68,0.5439325523635069,73.45393171246765,平台
2023-05-10,7223703,106,0.1467391447295106,82.73554436000484,社区
2023-03-17,7311999,31,0.042396067067295824,82.7081896482754,社区
2023-03-15,1514076,406,2.681503438400714,36.54605184944481,人脉
2023-04-23,1023258,54,0.527726145312326,73.94987383436045,平台
2023-04-01,708706,35,0.4938578197447178,71.86872976946717,平台
2023-05-07,860767,90,1.0455791172291689,37.19078449801166,人脉
2023-03-18,914792,159,1.7381000271099878,35.76430489116652,人脉
2023-05-04,6411735,45,0.070183811402062,82.47575734181154,社区
2023-05-05,1413667,135,0.9549632268419649,36.75073408376937,人脉
2023-03-23,8383021,56,0.06680169356607839,83.96731918004261,社区
2023-03-20,1484447,222,1.495506407436574,35.020718152955276,人脉
2023-04-17,1106770,107,0.9667771985145965,73.52882712758749,平台
2023-04-07,1056047,42,0.3977095716383835,72.38049064104155,平台
2023-04-29,4630403,30,0.06478917709754421,82.6809243169547,社区
2023-03-10,7263822,60,0.08260114303461731,82.44154385941727,社区
2023-05-02,591186,119,2.012902876590447,37.92478170998637,人脉
2023-04-14,1074212,58,0.539930665455236,73.44295167061995,平台
2023-03-27,1152811,64,0.5551647234455604,73.56357633645064,平台
2023-03-09,1594325,315,1.9757577658256629,36.630799868282814,人脉
2023-05-16,7980864,32,0.04009590941532145,82.4953538864965,社区
2023-02-23,8017985,32,0.03991027670917319,82.6859366786044,社区
2023-02-20,1524083,694,4.553557778677408,20.671577597807993,人脉
2023-03-06,7374586,58,0.07864848277584667,82.68319062249732,社区
2023-02-19,677090,70,1.033835974538097,73.68577294008182,平台
2023-03-05,956714,86,0.898910228135054,37.132204608691836,人脉
2023-02-28,8270753,70,0.08463558275770054,82.75605618980521,社区
2023-03-03,1464237,421,2.8752176048003157,34.46914672966194,人脉
2023-05-14,5716823,5,0.008746116505618592,82.84337297131641,社区
2023-02-25,5933691,21,0.03539112501813795,82.2180662929701,社区
2023-05-11,1456521,435,2.9865686797512705,37.78084902311741,人脉
2023-02-26,910420,59,0.6480525471760287,23.02904154126667,人脉
2023-05-13,693815,21,0.30267434402542465,70.98188998508247,平台
2023-02-24,1106568,37,0.3343671604456301,73.49146188937327,平台
2023-03-01,1251732,20,0.1597786107569352,73.8008615262692,平台
2023-03-07,1208600,131,1.0838987257984445,74.10094324011253,平台
2023-02-18,5765696,32,0.05550067155812585,81.5964629422016,社区
2023-05-15,1142271,82,0.7178681766410948,72.01881164802398,平台
2023-02-22,1204937,72,0.5975416142088756,74.11200751574563,平台
2023-05-05,6708428,39,0.05813582556151754,82.04625584414113,社区
2023-03-20,7821591,55,0.07031817439699928,84.87229772050213,社区
2023-04-20,1141670,73,0.6394141914914117,73.72866064624628,平台
2023-04-06,1100465,33,0.2998732354050333,74.76230502560281,平台
2023-05-04,1367050,149,1.0899381880692,36.94034600051205,人脉
2023-03-23,1525350,305,1.9995410889304095,34.61008948765857,人脉
2023-05-02,3753834,5,0.013319715256455134,82.48252320161201,社区
2023-03-09,7722169,114,0.14762691673803047,82.63766307108793,社区
2023-04-15,698181,37,0.5299485377001093,72.73199929531168,平台
2023-04-29,662738,64,0.9656908159785617,38.245581210070945,人脉
2023-03-24,1121538,312,2.781894148927633,73.53803437779193,平台
2023-03-10,1453494,358,2.4630304631460467,37.76245378377895,人脉
2023-04-26,7455678,29,0.03889652959797888,83.18861141803603,社区
2023-03-15,7610937,20,0.026277973395391396,82.48018607958521,社区
2023-04-27,1330713,376,2.8255529178718475,37.64831334780678,人脉
2023-04-09,656297,17,0.25902906763248956,70.55982276316972,平台
2023-03-30,1202304,78,0.648754391568189,73.4809166400511,平台
2023-03-12,942806,157,1.66524184190597,39.51491611211638,人脉
2023-05-07,4932823,16,0.032435787783182166,82.41246442452932,社区
2023-03-18,5722665,9,0.015726938410688028,83.43626614523129,社区
2023-05-10,1471230,211,1.4341741264112342,37.32346404029282,人脉
2023-03-17,1395009,375,2.6881547000772037,34.78465013487368,人脉
2023-04-22,699929,45,0.6429223535530032,71.77442283431606,平台
2023-04-04,1120101,112,0.9999098295600128,72.54577935382613,平台
2023-05-08,1074741,64,0.595492309309871,72.1471498714574,平台
2023-03-19,691008,57,0.8248819116421228,71.95054181717144,平台
2023-04-24,1460687,409,2.8000523041555105,35.66205490977875,人脉
2023-04-21,7400946,74,0.0999872178502586,81.92824268681328,社区
2023-04-03,7704945,35,0.04542537292608838,82.29891323039944,社区
2023-04-02,883735,91,1.0297204478718167,38.78979558351768,人脉
2023-04-25,1111502,17,0.15294619352911645,73.26383578257169,平台
2023-04-11,1560372,285,1.826487529896717,35.61727588036699,人脉
2023-03-28,1592829,373,2.3417454102103865,36.94646443529092,人脉
2023-03-14,1296930,95,0.7324990554617443,70.74098062347235,平台
2023-04-10,7844614,54,0.06883703901810848,82.073190599308,社区
2023-03-31,8179877,15,0.018337684050750397,82.43608064033236,社区
2023-04-13,1542242,461,2.9891547500327444,36.50938049929907,人脉
2023-05-01,414460,7,0.1688944650871013,69.7565506924673,平台
2023-03-26,924775,193,2.0869941337081994,38.78424481630667,人脉
2023-03-08,1161614,77,0.6628707987334863,72.9005504410243,平台
2023-04-16,5516937,22,0.03987719997527613,82.6949990547291,社区
2023-03-25,6017868,9,0.014955462632281067,82.08716110090816,社区
2023-04-18,1470699,229,1.5570827205294897,36.00675597114025,人脉
2023-04-08,928247,85,0.9157045484660872,37.5462565459409,人脉
2023-05-06,995907,35,0.351438437524789,71.38879433521403,平台
2023-03-21,1236588,132,1.0674533474366563,73.96950318133445,平台
2023-04-19,7887083,53,0.06719848136503699,82.1452113538047,社区
2023-04-05,6752376,15,0.022214402752453358,82.5383539068322,社区
2023-03-04,723977,67,0.9254437640974782,72.94624000486203,平台
2023-02-18,976147,546,5.593419843527665,21.488976557834015,人脉
2023-02-21,1211384,79,0.6521466355837621,74.46953236958718,平台
2023-05-12,1212023,101,0.8333175195520217,74.17483001560201,平台
2023-02-27,1163415,61,0.5243184934008931,73.93225976972963,平台
2023-03-02,1249156,62,0.4963351254767219,73.78213769937462,平台
2023-03-03,7438474,114,0.15325724066522248,80.91652938492491,社区
2023-02-28,1607557,458,2.8490436108952903,22.357527602442712,人脉
2023-05-11,7470666,61,0.08165269334755429,83.96857790188987,社区
2023-02-26,5606707,12,0.021402937588855635,82.70175345349774,社区
2023-05-14,840506,105,1.249247477114976,38.5639126906887,人脉
2023-02-25,958659,71,0.740617883939962,22.44708493844005,人脉
2023-02-20,7407693,72,0.09719625259848107,81.16067984998838,社区
2023-05-16,1456775,91,0.6246675018448284,36.88963635427571,人脉
2023-02-23,1529587,234,1.5298247173910342,21.847008375463442,人脉
2023-03-05,5582030,29,0.05195242590957053,81.68333025798859,社区
2023-03-06,1555124,429,2.7586224635463155,36.30591515531881,人脉
2023-02-18,7466484,646,0.8651997379221599,72.93264138783395,总体
2023-02-19,6915103,469,0.6782256171744658,73.00952711767272,总体
2023-02-20,10108320,986,0.9754340978520664,71.12988112762557,总体
2023-02-21,10651553,581,0.5454603662019989,73.07860177759994,总体
2023-02-22,10701444,439,0.41022501262446454,71.84279056172232,总体
2023-02-23,10736173,332,0.30923495737261314,73.10577987146817,总体
2023-02-24,10442487,453,0.4338047057180919,72.5345887430839,总体
2023-02-25,7609041,99,0.13010838028077387,73.88268771320854,总体
2023-02-26,7189825,80,0.1112683549321437,74.26812196402555,总体
2023-02-27,10477198,439,0.41900515767669944,72.95203354942801,总体
2023-02-28,11117120,649,0.583784289456262,73.08513355977088,总体
2023-03-01,10983943,367,0.33412409368839585,73.29726674655905,总体
2023-03-02,10967213,464,0.4230792271473163,73.44616175504206,总体
2023-03-03,10022565,662,0.6605095601774595,73.34850908924012,总体
2023-03-04,7327912,258,0.3520784638243472,74.21696657929299,总体
2023-03-05,7239798,179,0.2472444673180108,74.93142764480446,总体
2023-03-06,10090245,539,0.5341792989169242,74.54618792705232,总体
2023-03-07,10331251,714,0.6911070111451169,74.95213309598228,总体
2023-03-08,10522136,626,0.5949362372810996,75.1521174027783,总体
2023-03-09,10541768,436,0.4135928622219726,74.47634021162294,总体
2023-03-10,9843596,458,0.46527712027190066,74.6764800180747,总体
2023-03-11,7298548,300,0.41104066178642656,74.0637041778721,总体
2023-03-12,7061880,265,0.37525418160603125,74.93034432757283,总体
2023-03-13,9948460,545,0.5478234822274001,73.47178357253283,总体
2023-03-14,10507925,746,0.709940354541929,72.58749943495029,总体
2023-03-15,10385712,544,0.52379653893734,74.54920760367705,总体
2023-03-16,10524468,516,0.49028606481581777,73.03040875795337,总体
2023-03-17,9817729,485,0.4940042651411543,74.7256213733339,总体
2023-03-18,7349069,205,0.27894689789958427,76.41000513126221,总体
2023-03-19,7252685,403,0.5556562845346241,77.00745310185124,总体
2023-03-20,10483575,796,0.7592829736039471,76.6134834729565,总体
2023-03-21,11107662,512,0.46094308595274147,76.36587249413964,总体
2023-03-22,11273854,309,0.2740855079372147,75.54656996622451,总体
2023-03-23,11145451,428,0.38401317272849705,76.00444342718836,总体
2023-03-24,10522745,1105,1.050106222283254,76.25022748341806,总体
2023-03-25,7762053,146,0.18809456724915433,75.22856388638418,总体
2023-03-26,7358218,229,0.3112166559892626,75.90044219945645,总体
2023-03-27,10586123,701,0.6621876583145689,75.40912759090368,总体
2023-03-28,11169067,449,0.4020031395639403,75.28157007205705,总体
2023-03-29,11661014,579,0.49652628836566015,75.4052949426182,总体
2023-03-30,11550064,578,0.5004301274867394,75.16125451772389,总体
2023-03-31,10719952,430,0.401121199050145,75.36438595993714,总体
2023-04-01,7592836,153,0.201505735142969,75.53521503691111,总体
2023-04-02,7333254,118,0.16091083167172446,76.09700959492199,总体
2023-04-03,10302559,563,0.5464661740835457,74.71220499683622,总体
2023-04-04,10376989,615,0.5926574654748116,74.30004985068405,总体
2023-04-05,8619750,126,0.14617593317671626,76.07930624438063,总体
2023-04-06,10355830,483,0.4664039483073785,76.71163972371119,总体
2023-04-07,10108683,377,0.3729467033440459,74.32146205395895,总体
2023-04-08,7273773,110,0.15122825526724576,74.62931548729937,总体
2023-04-09,7217566,128,0.17734510498414563,75.32748574796545,总体
2023-04-10,10487386,256,0.2441027726070157,74.48759872097776,总体
2023-04-11,10890628,955,0.8769007627475661,74.28649660974556,总体
2023-04-12,10963218,359,0.32745859837868774,74.63692685851909,总体
2023-04-13,10874785,525,0.48276816507176923,75.37778448033686,总体
2023-04-14,10153106,236,0.23244118597796576,74.85152819245657,总体
2023-04-15,7281418,164,0.22523085475933396,75.41705475499415,总体
2023-04-16,6983433,190,0.27207248927569005,76.41277577947695,总体
2023-04-17,10082268,525,0.5207161721945895,74.70788318660047,总体
2023-04-18,10423395,318,0.3050829408268611,74.70799101444395,总体
2023-04-19,10519955,478,0.4543745671915897,74.73819992576014,总体
2023-04-20,10254021,526,0.5129694975268726,74.77992291999402,总体
2023-04-21,9777275,286,0.2925150412563828,74.73870787105814,总体
2023-04-22,7328010,153,0.2087879246889674,74.85752612237155,总体
2023-04-23,9678761,276,0.28516046630348657,75.42422010420549,总体
2023-04-24,10161052,529,0.5206153850998892,74.0504034424782,总体
2023-04-25,10059316,181,0.1799327111306574,74.85332004681034,总体
2023-04-26,9903504,351,0.35442001134144036,75.83971289353748,总体
2023-04-27,9592635,457,0.4764071602849478,75.68326116859444,总体
2023-04-28,8934119,103,0.11528836810881968,76.52027021354876,总体
2023-04-29,5804695,116,0.19983823439474424,76.68580347460116,总体
2023-04-30,5001776,65,0.1299538403958914,76.644335931877,总体
2023-05-01,4738087,84,0.1772867404081014,76.08530615837151,总体
2023-05-02,4771405,125,0.26197734210363616,75.88548865585713,总体
2023-05-03,5545910,63,0.1135972275063966,75.95164724995537,总体
2023-05-04,8763534,197,0.22479515683969503,74.06221051918097,总体
2023-05-05,9154510,215,0.23485691751934293,73.88143111974317,总体
2023-05-06,8522274,2930,3.43804951589212,73.32845670064117,总体
2023-05-07,6435882,108,0.16780916741481589,75.20860388677107,总体
2023-05-08,9317870,445,0.47757695696548674,74.10278314679213,总体
2023-05-09,9629552,498,0.5171580152430767,73.9939303510693,总体
2023-05-10,9822981,384,0.39092002723002317,74.83787253584222,总体
2023-05-11,10065941,591,0.5871284165087,76.19894652670823,总体
2023-05-12,11363592,304,0.26752104440215735,76.69728902621635,总体
2023-05-13,7590619,281,0.37019378788475615,76.0313750433265,总体
2023-05-14,7203607,118,0.16380682621914272,76.64282629521571,总体
2023-05-15,10492946,256,0.24397342748166245,75.15765353219201,总体
2023-05-16,10590399,215,0.2030140696304266,75.12056911170203,总体
